vnum,eruptions_total,eruptions_since_1800,eruptions_since_1900,eruptions_since_2000,vei_max,last_confirmed_year,last_confirmed_vei,uncertain_eruptions
211040,22,5,3,0,3,1934,2,0
213040,3,1,0,0,3,1840,3,2
221270,5,0,0,0,,1550,,0
241020,2,0,0,0,,1446,,0
263090,21,19,14,3,2,2019,1,1
266100,30,28,26,9,3,2015,2,1
272020,31,31,28,8,3,2024,3,2
283280,7,0,0,0,3,1550,1,0
290240,20,19,17,5,4,2020,1,2
290380,20,15,13,5,2,2022,2,1
300070,50,11,8,1,3,2010,1,3
300123,5,0,0,0,3,-550,2,0
311110,18,7,7,2,2,2023,1,4
314060,1,0,0,0,,300,,0
343030,51,46,14,0,3,1966,0,2
351012,8,0,0,0,4,1720,4,0
355110,3,3,0,0,2,1877,2,0
357070,26,19,11,2,3,2016,2,6
357122,8,0,0,0,0,560,,0
358080,1,0,0,0,,-5550,,0
243080,8,8,7,6,3,2025,,1
250010,4,2,1,0,2,1953,2,1
259010,4,0,0,0,,-2900,,0
264250,14,14,13,2,3,2021,0,2
265090,23,7,2,0,3,1988,3,4
267010,13,13,5,2,4,2024,4,1
283080,5,2,0,0,2,1839,2,1
284121,1,1,1,0,0,1953,0,5
285050,27,17,14,1,3,2004,1,1
290070,7,7,7,2,2,2013,2,0
290260,11,11,10,6,3,2022,2,1
300260,111,92,73,18,4,2025,,2
312150,8,0,0,0,,-500,,4
315030,2,0,0,0,6,847,6,0
332030,6,0,0,0,,-2460,,0
344040,48,42,42,17,4,2025,,6
390030,24,8,4,0,3,1970,3,3
223020,48,47,42,10,3,2018,0,1
234010,11,11,11,4,2,2012,0,2
241050,31,21,19,0,5,1981,1,0
261120,7,7,3,0,2,1986,1,3
263060,22,20,5,0,3,1957,2,4
263350,9,7,6,0,2,1999,1,2
264270,11,11,11,3,2,2021,1,3
283260,16,11,8,0,2,1997,1,1
284050,18,0,0,0,5,1606,2,1
285011,8,2,0,0,3,1874,1,0
290010,3,1,0,0,1,1848,1,0
300130,53,36,33,6,6,2025,,0
259804,1,0,0,0,,-5050,,0
267030,6,6,3,0,3,1918,3,1
222170,1,1,0,0,2,1800,2,0
314010,1,0,0,0,,-1280,,1
390050,0,0,0,0,,,,2
266130,7,4,0,0,5,1880,1,0
283010,6,1,1,0,4,1989,1,1
243030,4,4,4,1,1,2017,0,1
284030,4,0,0,0,4,838,4,1
284150,1,1,1,0,2,1906,2,3
344010,5,3,0,0,5,1859,,2
355011,8,0,0,0,,-320,,0
358052,2,0,0,0,,200,,0
214090,2,0,0,0,,-778,,1
257090,1,1,0,0,0,1881,0,1
290200,3,3,2,0,2,1960,2,2
311210,3,3,1,0,3,1937,3,3
335020,0,0,0,0,,,,1
355090,1,1,0,0,,1810,,1
357121,4,0,0,0,4,255,3,1
213021,0,0,0,0,,,,1
222051,8,1,1,0,0,1910,0,0
243060,11,9,5,2,2,2015,0,1
253060,1,0,0,0,,1350,,0
266020,2,2,1,1,1,2005,1,0
283200,5,0,0,0,1,837,1,0
234000,1,1,1,0,0,1995,0,0
327120,2,0,0,0,0,-1170,0,0
341030,4,1,0,0,6,1870,3,0
357123,1,0,0,0,,1750,,0
358070,7,1,1,0,5,1910,2,0
273083,9,4,4,1,6,2021,1,0
284060,7,0,0,0,4,1780,3,0
284200,4,4,4,4,3,2007,2,0
300122,6,0,0,0,3,1350,1,0
346010,8,0,0,0,,1550,,0
358012,1,0,0,0,,-190,,0
261070,1,1,0,0,,1881,,0
