vnum,pop_within_30km
210010,232256
210020,427221
210030,101153
210040,197199
211004,2962194
211010,3006865
211020,3907941
211031,0
211030,383661
211041,42429
211042,36059
211040,3894
211050,86766
211060,1016540
211071,12403
211070,230578
212020,48917
212030,9851
212040,12336
212050,14285
213000,187845
213002,174584
213011,93286
213010,767813
213020,230531
213030,173581
213040,135563
214010,5718
214020,7693
214050,86563
214060,150143
214070,1265153
214080,57079
214090,62882
214100,55696
221010,0
221021,1075
221022,811
221020,7
221041,2372
221040,25942
221050,4827
221060,11209
221071,11328
221080,8857
221091,4266
221090,8424
221101,2713
221102,3830
221103,3896
221104,7697
221105,6756
221106,2130
221107,3699
221100,18
221111,66381
221112,13459
221113,36494
221114,47053
221115,7455
221116,93790
221110,8611
221127,74334
221122,15991
221123,11607
221124,6301
221125,97
221126,6898
221120,64938
221141,40013
221151,11672
221150,12626
221160,33262
221171,65271
221172,54244
221170,18645
221180,54928
221191,196084
221190,169357
221200,255387
221210,586318
221220,662037
221222,648056
221230,744211
221250,546291
221252,432279
221260,889323
221270,314216
221280,477361
221290,1171948
221291,1222547
221320,48969
222001,7326
222010,10253
222021,49742
222020,1959
222030,4180
222040,7073
222050,11949
222051,4448
222052,18705
222053,62835
222054,85474
222055,115689
222056,768936
222060,886293
222071,445904
222070,628701
222080,323529
222090,208003
222100,410677
222110,105232
222120,18074
222130,91280
222164,604376
222166,393819
222160,828942
222170,378511
223001,498815
223002,537190
223020,711356
223030,1006436
223040,1198124
224004,117500
224011,434892
224010,417460
224030,399741
225001,927
225004,518
225005,0
225006,1326
225009,0
225010,394
225021,26
225020,0
225030,120061
225040,30569
225050,5140
225060,2752
231001,276996
231040,234
231050,3112
231060,13619
231071,8028
231072,37855
231070,1010115
231080,574162
231090,820695
231110,225754
231120,791276
231160,74598
231170,6643
231180,2117
232010,59171
233001,243474
233005,
233010,278330
233020,246792
234000,0
234001,0
234002,0
234011,0
234010,0
234020,0
234030,0
234040,0
234050,0
234060,0
234070,0
241021,141
241020,1222436
241030,77381
241040,5
241050,79591
241070,26674
241080,7591
241101,0
241102,0
241100,6901
241110,0
241120,0
241130,0
241131,0
241140,0
241150,0
242001,0
242010,0
242021,0
242022,0
242030,0
242050,0
243001,0
243011,0
243010,0
243030,0
243040,532
243050,532
243061,1563
243060,1556
243070,18
243080,142
243091,20
243090,158
243101,1706
243102,37
243100,91
243110,155
243120,0
243130,0
244000,0
244001,1538
244010,1387
244020,56239
244030,144419
244040,34215
245010,19186
245030,4523
250010,2870
250030,0
251001,462
251002,1341
251010,462
251020,24364
251030,20127
251041,0
251050,4017
251060,5585
251070,4323
251080,1176
252010,11641
252040,3743
252050,8601
252060,44354
252071,35526
252070,58235
252080,37824
252090,15051
252100,14613
252110,19320
252120,10577
252130,9659
252140,199361
252150,152530
253011,38537
253010,45841
253021,14700
253030,14042
253041,17932
253040,10041
253050,8026
253060,7721
255011,9620
255010,11904
255021,62020
255020,7861
255030,26075
255052,378
255053,2686
255050,833
255061,8101
255060,802
255070,6251
256010,19
257001,3768
257010,5555
257020,2848
257030,4326
257040,10826
257050,7942
257060,7819
257070,5725
257081,26614
257090,7007
257100,24748
258001,0
258010,1
258020,0
259010,610361
259804,
260010,645
261030,16227
261050,125812
261070,228453
261080,163630
261121,169047
261120,90257
261130,352639
261140,818039
261150,604282
261160,214975
261170,264107
261180,49583
261220,333750
261231,64024
261230,96058
261251,21279
261270,24619
262000,8027
263010,739785
263020,1753655
263040,2333456
263050,2675904
263060,2315469
263070,1516827
263090,5729309
263100,1637971
263131,2301649
263130,3412038
263140,2382939
263150,2388005
263170,3058015
263180,2904026
263200,1886942
263210,2086299
263220,2425607
263240,3019783
263250,4348473
263260,2344575
263281,2927446
263280,2087876
263291,4605710
263290,4143137
263300,1022197
263310,1420878
263320,2193829
263330,1601344
263340,581515
263351,437688
263350,664199
264001,935879
264010,937766
264020,968381
264030,1374441
264040,89006
264050,39301
264060,242184
264071,291790
264080,101938
264090,162299
264100,140204
264110,62974
264140,118605
264150,5284
264160,250257
264180,284976
264220,260688
264230,159023
264240,123287
264250,79569
264260,207
264270,69744
265040,720
265050,102
265060,200
265070,58
265080,0
265090,5810
266010,2025
266020,319137
266030,501336
266100,942160
266110,878193
266120,822740
266130,135761
267010,2766
267020,11066
267030,4586
267040,52725
268001,85055
268010,101506
268020,64388
268030,64581
268040,61376
268051,79855
268052,295487
268050,56900
268061,320483
268062,300717
268063,89568
268060,308691
268070,21360
271011,484481
271020,822372
271031,451047
271040,418007
271060,331796
271070,517243
271080,92178
272020,923257
272050,277950
272080,254519
273010,518705
273030,1166441
273041,1159509
273042,1208269
273050,1698285
273060,3039334
273070,2380326
273083,1148684
273090,34018
274010,1369
274020,132
274030,222
274060,8255
275001,1731229
275020,29181
275060,0
275080,452931
275110,419814
281031,471596
281032,6735396
282010,31167
282022,199
282020,0
282030,325
282043,291
282040,364
282050,5348
282060,152
282070,171590
282081,923168
282080,905254
282091,61450
282090,407050
282100,444737
282110,234591
282120,181541
282130,709942
283001,117805
283002,171742
283020,1543563
283030,906969
283050,63965
283060,109638
283070,156542
283080,143935
283090,226866
283100,561142
283110,457576
283121,449713
283120,434049
283131,18567
283130,1116366
283142,113236
283143,381490
283140,79844
283151,110303
283160,327454
283170,717078
283180,548195
283191,302176
283200,210262
283210,104165
283230,216708
283240,415920
283250,89833
283262,81218
283260,55493
283271,103631
283270,465065
283280,476624
283290,80028
284011,13194
284010,8375
284020,6139
284030,5716
284041,4551
284042,46
284040,3474
284050,13564
284061,0
284060,232
284070,0
284080,0
284091,0
284093,0
284094,0
284095,0
284097,0
284090,21
284121,23
284120,1189
284131,0
284132,0
284133,0
284134,0
284135,0
284136,0
284137,0
284130,19
284141,0
284142,0
284143,0
284140,0
284150,0
284160,0
284170,0
284180,0
284191,0
284192,0
284190,0
284201,0
284202,0
284200,0
284211,0
284210,0
284220,0
284230,0
285011,33197
285010,6
285020,234213
285031,75171
285032,80006
285034,220509
285030,214565
285041,12933
285040,316816
285050,60382
285061,3682
285060,16391
285081,25627
285082,8574
285080,26476
285090,7890
290010,2445
290020,3527
290040,240
290060,1268
290090,1125
290100,600
290111,37
290120,128
290130,328
290150,3
290161,49
290180,61
290191,20
290190,92
290200,11
290211,8
290210,16
290220,9
290240,143
290250,134
290260,0
290270,1
290290,3
290300,4
290310,83
290320,46
290331,50
290340,354
290350,516
290360,527
290370,976
290380,1076
290390,64
300010,572
300021,1356
300022,544
300023,397
300020,855
300030,410
300040,135
300052,46
300053,187
300058,34
300059,30
300050,244
300060,97
300070,19
300082,14
300083,23874
300084,13963
300080,50
300090,142050
300100,180016
300110,110
300121,44
300122,1352
300123,1583
300124,37
300125,615
300120,153
300130,291
300140,497
300150,554
300160,186
300170,294
300180,687
300190,814
300200,1323
300210,382
300221,123
300220,238
300230,197
300241,63
300242,77
300240,225
300251,63
300250,47
300261,292
300260,292
300271,0
300272,38
300273,32
300270,1718
300280,34
300360,158
300450,3
300511,363
300512,33
300520,77
300550,17
300551,94
300552,155
300560,72
300590,44
300650,26
300671,16
300680,8
300700,4
302030,62
302060,6
303010,5602
304030,3212
305010,112975
305011,6435
305020,72863
305030,136201
305040,149132
305050,197016
305060,29476
306030,9210
306040,482766
311010,0
311020,0
311030,0
311040,0
311050,0
311060,0
311070,0
311080,0
311090,0
311100,0
311110,0
311111,0
311120,0
311130,0
311140,0
311160,207
311180,0
311190,0
311200,0
311210,0
311220,0
311230,0
311240,0
311241,0
311250,0
311260,0
311270,6
311280,0
311290,0
311300,0
311310,3437
311320,233
311340,0
311350,0
311360,10
311380,10
311390,0
312010,67
312011,859
312020,686
312030,0
312040,0
312050,0
312060,11
312070,0
312080,0
312090,36
312100,0
312110,0
312120,0
312130,0
312131,0
312132,0
312140,0
312150,0
312160,0
312170,0
312180,0
312190,0
312200,0
312210,0
312220,0
312230,0
312250,0
312260,0
312270,0
313010,0
313020,1
313030,1
313040,0
313050,0
314010,582
314030,0
314040,662
314060,0
315001,12
315020,0
315030,0
315040,6613
315050,60
315060,1596
315070,6
320010,6
320020,47
320030,94
320031,0
320040,0
320050,0
320060,0
320070,0
320080,0
320090,0
320100,928
320110,456
320120,574
320140,674
320150,716
320160,67
320170,219
320180,307
320190,28109
320200,16058
320811,
321010,8568
321020,23
321030,3187
321040,4019
321050,2221
321060,14359
321070,6911
322010,9721
322020,823
322030,6914
322040,1574
322060,6518
322070,5672
322090,22514
322100,7483
322110,16437
322120,287
322150,913
322160,366
322170,136
322190,28
323010,19785
323020,254
323080,2340
323100,71791
323110,1491
323120,9048
323150,7745
323160,262
323200,38579
324010,4440
324020,1459
324030,1394
324040,12646
326010,25655
327040,1887
327050,3679
328010,30534
329010,170
329020,70472
327110,2596
327120,246
327812,
331010,0
331011,0
331020,0
331021,0
331030,0
331031,0
331040,0
332000,0
332010,8495
332020,1906
332030,9950
332040,46959
332060,65398
333010,0
333020,0
333030,0
333040,114
333050,0
333060,0
334020,0
334021,0
334040,0
334050,0
334070,0
334100,0
334120,0
334130,0
334140,0
335020,0
335030,0
341001,408
341003,606
341004,3141
341007,2558
341011,401
341012,2365
341021,0
341022,571282
341024,403964
341020,0
341031,31760
341030,93057
341040,303490
341061,490440
341062,630469
341060,5783287
341070,1626432
341082,1036172
341080,4061942
341091,2324232
341092,211350
341093,566898
341095,739767
341090,634054
341100,759747
341110,259640
341120,143015
341130,598594
342020,796805
342030,1259600
342040,1126942
342060,664649
342070,703786
342080,1042836
342090,1016339
342100,2530449
342111,987252
342110,2454482
342121,429177
342120,313834
342130,394687
342140,397357
342141,449894
342150,405083
342160,421074
342170,867678
342180,374232
343002,883616
343010,1113282
343020,1240131
343030,1272308
343041,1210307
343051,743867
343050,2857563
343060,2948989
343072,581517
343070,864425
343081,610124
343082,786750
343080,590144
343090,824983
343101,699308
343100,796482
343130,156692
343140,195736
343150,279991
344010,18876
344020,351227
344040,327294
344070,296320
344080,299481
344091,1342581
344092,1610426
344090,98583
344101,678798
344100,1914707
344111,214864
344110,621451
344120,92378
345010,31463
345020,78668
345031,92344
345033,96512
345034,339271
345030,61875
345040,950796
345050,2004665
345060,1667528
345070,672428
346010,79933
351011,537402
351012,538690
351021,302952
351020,507608
351030,441916
351040,570836
351050,56737
351061,127782
351060,335698
351070,160615
351080,630777
351090,387292
351100,244853
351110,151519
352001,70322
352002,356162
352003,364146
352004,477043
352005,480382
352006,109630
352011,1192411
352010,4403
352021,1837303
352022,348743
352020,2064475
352031,
352030,56154
352041,158371
352040,8384
352050,152139
352060,124306
352071,463426
352081,333276
352080,183640
352090,15130
353011,193
353010,208
353020,237
353030,343
353040,388
353050,983
353060,314
353070,427
353081,197
353080,785
353091,8800
353090,104
353120,7723
354000,85048
354001,12228
354003,15589
354004,16541
354005,7271
354006,12678
354010,918280
354020,14607
354031,18160
354030,9153
354040,21124
354050,10396
354060,15247
355011,1994
355012,3442
355020,2290
355032,6266
355030,5961
355040,2852
355050,2318
355091,1721
355092,1650
355093,408
355094,1024
355095,238
355096,294
355098,368
355090,1609
355101,217
355102,505
355103,1968
355104,148
355105,487
355107,50
355108,791
355109,538
355100,570
355112,227
355110,391
355121,160
355122,288
355123,232
355124,215
355125,534
355120,259
355131,482
355130,572
355160,94
355161,123
355190,62
