EP011962,            VALERIE,      9,
19620624, 0000,  , HU, 16.6N, 103.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620624, 0600,  , HU, 17.4N, 104.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620624, 1200,  , HU, 18.2N, 105.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620624, 1800,  , HU, 19.0N, 105.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620625, 0000,  , HU, 19.8N, 106.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620625, 0600,  , HU, 20.8N, 106.4W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620625, 1200,  , HU, 21.8N, 106.6W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620625, 1800,  , HU, 23.4N, 106.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620626, 0000,  , HU, 25.0N, 106.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP021962,              WILLA,     11,
19620708, 0000,  , TS, 19.7N, 110.6W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620708, 0600,  , TS, 20.0N, 111.9W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620708, 1200,  , TS, 20.2N, 113.2W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620708, 1800,  , TS, 20.4N, 114.5W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19620709, 0000,  , TS, 20.6N, 115.7W,  45, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
