EP011963,              EMILY,      7,
19630629, 0000,  , HU, 15.3N, 100.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630629, 0600,  , HU, 15.6N, 101.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630629, 1200,  , HU, 16.0N, 101.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630629, 1800,  , HU, 16.6N, 102.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630630, 0000,  , HU, 17.3N, 102.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630630, 0600,  , HU, 17.8N, 102.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630630, 1200,  , HU, 18.3N, 102.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP021963,           FLORENCE,     13,
19630714, 1200,  , HU, 18.4N, 109.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630714, 1800,  , HU, 18.1N, 111.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630715, 0000,  , HU, 18.0N, 112.3W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630715, 0600,  , HU, 17.9N, 113.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630715, 1200,  , HU, 18.0N, 115.2W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630715, 1800,  , HU, 18.2N, 117.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630716, 0000,  , HU, 18.5N, 119.7W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630716, 0600,  , HU, 18.9N, 120.8W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630716, 1200,  , HU, 19.2N, 122.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630716, 1800,  , HU, 19.2N, 123.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630717, 0000,  , HU, 19.1N, 124.1W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630717, 0600,  , HU, 19.1N, 125.5W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630717, 1200,  , HU, 19.1N, 126.9W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
EP031963,             GLENDA,      9,
19630719, 1200,  , HU, 14.3N, 116.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630719, 1800,  , HU, 14.1N, 117.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630720, 0000,  , HU, 14.0N, 118.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630720, 0600,  , HU, 14.0N, 119.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630720, 1200,  , HU, 14.0N, 120.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630720, 1800,  , HU, 14.0N, 121.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630721, 0000,  , HU, 14.0N, 122.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630721, 0600,  , HU, 14.0N, 123.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630721, 1200,  , HU, 14.0N, 124.0W,  75, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
CP011963,            UNNAMED,     27,
19630802, 0000,  , TD, 12.5N, 147.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630802, 0600,  , TD, 12.3N, 148.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630802, 1200,  , TD, 12.0N, 150.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630802, 1800,  , TD, 11.8N, 151.6W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630803, 0000,  , TD, 11.7N, 153.0W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630803, 0600,  , TD, 11.7N, 154.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630803, 1200,  , TD, 11.7N, 156.4W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630803, 1800,  , TD, 11.7N, 157.8W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630804, 0000,  , TD, 11.7N, 159.2W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630804, 0600,  , TD, 11.8N, 160.5W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630804, 1200,  , TD, 11.9N, 161.7W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19630804, 1800,  , TD, 12.3N, 162.9W,  25, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
